vertex_id,y,z
1,-100000.000,-100000.000
2,-100000.000,100000.000
3,100000.000,100000.000
4,100000.000,-100000.000
5,-100000.000,0.000
6,100000.000,0.000
7,-194.478,-0.460
8,199.017,0.000
9,-182.839,-2.461
10,-169.348,-3.184
11,-142.952,-4.389
12,-124.769,-4.630
13,-115.384,-5.353
14,-104.978,-5.623
15,-77.843,-5.353
16,-62.592,-7.522
17,-22.119,-8.967
18,-8.628,-9.449
19,17.514,-6.041
20,50.615,-13.305
21,78.771,-14.028
22,99.301,-12.341
23,105.166,-11.618
24,152.678,-6.076
25,186.699,-2.461
26,294.249,2.333
27,-91.054,-6.061
28,94.414,-12.743
29,-187.652,-1.633
30,184.076,-2.740
31,167.383,-4.513
32,112.867,-10.720
33,87.164,-13.339
34,-313.136,-1.354
35,-263.497,392.597
36,-263.497,-0.980
37,292.669,392.597
38,292.669,2.294
39,-263.497,4.066
40,-263.497,9.112
41,-263.497,14.158
42,-263.497,19.204
43,-263.497,24.250
44,-263.497,29.295
45,-263.497,34.341
46,-263.497,39.387
47,-263.497,44.433
48,-263.497,49.479
49,-263.497,54.525
50,-263.497,59.571
51,-263.497,64.616
52,-263.497,69.662
53,-263.497,74.708
54,-263.497,79.754
55,-263.497,84.800
56,-263.497,89.846
57,-263.497,94.892
58,-263.497,99.937
59,-263.497,104.983
60,-263.497,110.029
61,-263.497,115.075
62,-263.497,120.121
63,-263.497,125.167
64,-263.497,130.213
65,-263.497,135.258
66,-263.497,140.304
67,-263.497,145.350
68,-263.497,150.396
69,-263.497,155.442
70,-263.497,160.488
71,-263.497,165.534
72,-263.497,170.579
73,-263.497,175.625
74,-263.497,180.671
75,-263.497,185.717
76,-263.497,190.763
77,-263.497,195.809
78,-263.497,200.855
79,-263.497,205.900
80,-263.497,210.946
81,-263.497,215.992
82,-263.497,221.038
83,-263.497,226.084
84,-263.497,231.130
85,-263.497,236.176
86,-263.497,241.221
87,-263.497,246.267
88,-263.497,251.313
89,-263.497,256.359
90,-263.497,261.405
91,-263.497,266.451
92,-263.497,271.497
93,-263.497,276.542
94,-263.497,281.588
95,-263.497,286.634
96,-263.497,291.680
97,-263.497,296.726
98,-263.497,301.772
99,-263.497,306.818
100,-263.497,311.863
101,-263.497,316.909
102,-263.497,321.955
103,-263.497,327.001
104,-263.497,332.047
